Order_Id,Order_Date,Order_Date2,Order_Minute,Order_Hour,Data_Center,Language_Name,Supplier_Code,Country_Name,Origin,order_amount,Browser_Name,OS_Name,Device_Type_Name,Platform_Group_Name,No_Of_Product,,,,,,,,,,,
100000001,2020-10-01 00:07:00,2020-10-01,7,0,DC_3,Romanian,Supplier_C,Turkey,TR,67.43,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000002,2020-10-01 00:10:00,2020-10-01,10,0,DC_2,English,Supplier_A,Greece,GR,135.63,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000003,2020-10-01 00:26:00,2020-10-01,26,0,DC_1,English,Supplier_A,Sweden,GB,351.73,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000004,2020-10-01 00:38:00,2020-10-01,38,0,DC_3,French,Supplier_A,Spain,FR,108.84,Chrome,Android,Others,Website,1,,,,,,,,,,,
100000005,2020-10-01 00:39:00,2020-10-01,39,0,DC_2,Korean,Supplier_A,Netherlands,BE,138.11,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000006,2020-10-01 01:00:00,2020-10-01,0,1,DC_1,French,Supplier_A,France,FR,64.48,Firefox,Windows,Desktop,Website,1,,,,,,,,,,,
100000007,2020-10-01 01:02:00,2020-10-01,2,1,DC_1,French,Supplier_C,United Kingdom,BE,204.62,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000008,2020-10-01 01:25:00,2020-10-01,25,1,DC_2,T. Chinese / Taiwan,Supplier_A,Norway,NO,53.88,Mobile Application,iOS,Mobile,Mobile application,1,,,,,,,,,,,
100000009,2020-10-01 01:46:00,2020-10-01,46,1,DC_1,S.Chinese / Mainland,Supplier_A,Turkey,TR,32.91,Chrome,Mac OS X,Desktop,Website,1,,,,,,,,,,,
100000010,2020-10-01 01:54:00,2020-10-01,54,1,DC_3,English,Supplier_C,India,GB,173.82,Chrome,Windows,Desktop,Website,1,,,,,,,,,,,
100000011,2020-10-01 01:55:00,2020-10-01,55,1,DC_2,English,Supplier_A,Finland,FI,135.14,Safari,Mac OS X,Desktop,Website,1,,,,,,,,,,,
100000012,2020-10-01 01:55:00,2020-10-01,55,1,DC_1,English,Supplier_A,Spain,HU,102.72,Chrome,Windows 7,Desktop,Website,1,,,,,,,,,,,
100000013,2020-10-01 01:57:00,2020-10-01,57,1,DC_3,English / United Kingdom,Supplier_C,United Arab Emirates,SD,431.06,Chrome Mobile,Android,Mobile,Website,1,,,,,,,,,,,
